Registro,Modalidad,Responsable,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Programa de remediación aprobado,x,y,Técnica,Responsable de la remediación,Proceso de tratamiento,Año de conclusión,Área de suelo remediado m²,Año de identificación,Volumen de suelo remediado m³
1415,,,,,Km 031+000 carretera Tampico-Mante,,,,,,,,,,,Biológicos,Ana Lilia Sánchez Hernández,Biorremediación por landfarming a un lado del sitio contaminado,2016,100,,75
1416,Emergencia ambiental,"Transportes de Carga FEMA, S.A. de C.V.",Nuevo_León,Galeana,"Km 166+200 camino nacional No. 57, Matehuala-Saltillo, tramo Los Pocitos-límites de los estados Nuevo León-Coahuila",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Plaguicidas,Plaguicidas,808.05,96.65,No,-100.459,24.951,,,,,,2013,
1417,Emergencia ambiental,"T Combustibles de Camargo, S.A. de C.V.",Chihuahua,Chihuahua,Km 200 camino nacional No. 45 Delicias-Chihuahua tramo Lázaro Cárdenas-Chihuahua,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,335.04,254.56,Si,-105.92,28.516,,,,,,2013,
1418,,,,,"Área aledaña a la moto bombas de la Batería de Separación Perdiz, en el km 6 de la carretera estatal, localidad Barahúnda-Matagallina",,,,,,,,,,,Biológicos,"Química Apollo, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2015,1993.71,,4000
1419,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Tihuatlán,Línea de descarga 4 Ø (F/O) Pozo Manuel Ávila Camacho 122 (B/M) abierto,Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,231.53,83.2,Si,-97.475,20.557,,,,,,2013,
1420,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Tihuatlán,"Área afectada por línea de descarga de 4 Ø del Pozo Mesa Cerrada 116, km 1+000",Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,2759.27,2619.95,Si,-97.443,20.676,,,,,,2013,
1421,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Cárdenas,"Sitio  denominado ""El Retiro"", colonia 5 de Febrero, patio de tuberías Magallanes",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media y pesados,Hidrocarburos,1120.1,558.4,Si,-93.912,18.169,,,,,,2013,
1422,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Cárdenas,"Parcela de Santiago Izquierdo de La Cruz, el sitio se ubica en el Ejido Buena Vista, Parcela No. 52",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media y pesados,Hidrocarburos,115.1,57.6,Si,-93.881,18.104,,,,,,2013,
1423,Emergencia ambiental,Pemex Exploración y Producción,Tabasco,Cárdenas,"Área aledaña a la Estación de compresión Sánchez Magallanes, colonia La Trinidad",Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,646.37,9182.15,Si,-93.888,18.158,,,,,,2013,
1424,,,,,"Km 011+950 carretera No. 81, Tampico-Monterrey, tramo Estación Manuel-González",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2016,479.98,,665
1425,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Huimanguillo,"Parcela de José Antonio Rivera Colorado, el sitio se ubica en el Ejido El Paraíso.",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,126.11,14.98,Si,-94.056,18.057,,,,,,2013,
1426,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Huimanguillo,"Parcela de Santos Hernández Cáliz, el sitio se ubica en el Ejido El Paraíso.",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos pesados,Hidrocarburos,1436.4,690.3,Si,-94.052,18.072,,,,,,2013,
1427,,,,,"Textitlán No. 42, Santa Úrsula Coapa, Coyoacán",,,,,,,,,,,Disposición final,"ERM México, S.A. de C.V.",Disposición final fuera del sitio,2014,29,,38
1428,,,,,Km 81 autopista Morelia-Salamanca,,,,,,,,,,,Biológicos,Ana Lilia Sánchez Hernández,Biorremediación por landfarming a un lado del sitio contaminado,2016,110,,33
1429,,,,,Km 15 del corredor urbano Luis Donaldo Colosio,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2018,368,,294
1430,Emergencia ambiental,Pemex Exploración y Producción,Tabasco,Huimanguillo,"Oleoducto de 16"" Ø de Batería Bacal a Batería de Separación Ogarrio, en el poblado de Francisco Rueda",Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,564.85,847.28,Si,-93.925,17.828,,,,,,2013,
1431,,,,,"Km 217+800 carretera nacional No. 135D, Cuacnopalan-Oaxaca, tramo Puente Río Díaz-Oaxaca",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2016,110,,210
1432,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Huimanguillo,"Parcela de Juan Vicencio Morales, el sitio se ubica en el Ejido El Paraíso",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,23854.17,11516.42,Si,-94.06,18.053,,,,,,2013,
1433,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Huimanguillo,"Ranchería Blasillo, Villa la Venta",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media y pesados,Hidrocarburos,37666.964,18402.888,No,-94.055,18.086,,,,,,2013,
1434,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Huimanguillo,"Parcela de Mateo Valencia , el sitio se ubica en el Ejido El Paraíso, perteneciente al Activo de Producción Cinco Presidentes",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,1103.77,1003.03,Si,-94.058,18.055,,,,,,2013,
1435,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Cárdenas,"Área aledaña al Pozo Sánchez Magallanes 139, en la colonia La Trinidad",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,1304.84,463.13,Si,-93.884,18.151,,,,,,2013,
1436,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Cárdenas,"Pozo Sánchez Magallanes 104, perteneciente al Activo de Producción Cinco Presidentes, el sitio se ubica en Villa Benito Juárez",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,2018.3,2527.41,Si,-93.897,18.165,,,,,,2013,
1437,Pasivo ambiental,Pemex Refinación,Tabasco,Huimanguillo,"Parcela de Margarito Arenas Gama, en el Ejido Profesor José N. Rovirosa, área aledaña al Pozo La Venta 237-247",Derrames y/o fugas,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Hidrocarburos de  fracción media y pesados,Hidrocarburos,42518.97,20594.19,No,-94.053,18.084,,,,,,2013,
1438,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Jalpa de Méndez,Presa de Quema del Pozo Oxiacaque 75,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,"Hidrocarburos ligeros, de fracción media y pesados",Hidrocarburos,143.21,162.35,Si,-93.033,18.1,,,,,,2013,
1439,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Cárdenas,"Área aledaña al Pozo Sánchez Magallanes 143, perteneciente al Activo de Producción Cinco Presidentes, en la colonia La Trinidad",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,"Hidrocarburos ligeros, de fracción media y pesados",Hidrocarburos,393.85,522.4,Si,-93.887,18.149,,,,,,2013,
1440,,,,,"Km 118+950 carretera No. 54D Guadalajara-Colima, tramo Ciudad Guzmán-límite estado de Colima",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2016,335.1,,67.02
1441,,,,,"Km 090+100 tramo carretero Ciudad Insurgentes-Loreto, de la carretera transpeninsular",,,,,,,,,,,Biológicos,Ana Lilia Sánchez Hernández,Bioventeo aerobio en el sitio contaminado,2017,60,,24
1442,,,,,"Km 136+800 carretera nacional No. 130, tramo Xicotepec-Villa Ávila Camacho",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2016,318,,222.6
1443,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Moloacán,"Área aledaña a la Batería Cuichapa 2, en la comunidad de Cuichapa",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,"Hidrocarburos ligeros, de fracción media y pesados",Hidrocarburos,3774.29,1203.32,Si,-94.287,17.941,,,,,,2013,
1444,,,,,"Km 201+800 carretera Suecos-Casas Grandes, tramo carretero Janos-Casas Grandes",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2017,658.82,,402.83
1445,,,,,"Calle 5 de Febrero de 1947 S , zona industrial Chalco",,,,,,,,,,,Disposición final,Ingenieros Asociados a favor de la Industria y la Ecología L.F.J.A. S.A.,Disposición final fuera del sitio,2016,1.23,,1.49
1446,Emergencia ambiental,Pemex Refinación,Hidalgo,Tetepango,"km 22+084 poliducto de 8 Ø Tula-Pachuca, en el poblado de Ulapan",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,2373.71,1561.38,Si,-99.157,20.151,,,,,,2013,
1447,,,,,"Km 020+400 carretera No. 45D México-Ciudad Juárez, tramo León-límite con el estado de Jalisco",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2017,777.88,,357.41
1448,Emergencia ambiental,"Express y Tanques Especializados, S.A. de C.V.",Tamaulipas,Jaumave,"Km 32 carretera No. 126, Ciudad Victoria-Jaumave",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,161,48.3,Si,-99.299,23.594,,,,,,2013,
1449,,,,,"Km 250+500 del carretera federal No. 190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",,,,,,,,,,,Combinación de procesos biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio a un lado del sitio contaminado y en el sitio contaminado,2016,88,,198
1450,,,,,Km 050+400 carretera No. 2D Tecate-Mexicali,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2016,193.5,,193.5
1451,,,,,Km 002+730 oleogasoducto de 12 Ø de la Macropera Furbero 1228-Batería de Separación Furbero I,,,,,,,,,,,Químicos,"Compañía Cars de México, S.A. de C.V.",Oxidación química a un lado del sitio contaminado,2019,3509.81,,3448.03
1452,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,Km 400 oleogasoducto de 6 Ø de la Macropera Furbero 1461-Macropera Furbero 1465,Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,751.63,171.89,Si,-97.448,20.339,,,,,,2013,
1453,,,,,Km 750 oleoducto de 6 Ø de la Macropera Furbero 1221 a entronque de oleogasoducto Macropera Furbero 1228 a la Batería de Separación Furbero I,,,,,,,,,,,Químicos,"Compañía Cars de México, S.A. de C.V.",Oxidación química a un lado del sitio contaminado,2019,369.81,,196.46
1454,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,Km 750 oleogasoducto de 6 Ø de la Macropera Furbero 1405 interconexión con la Macropera Furbero 1465-Furbero1489,Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,921.28,248.74,Si,-97.444,20.344,,,,,,2013,
1455,Emergencia ambiental,Pemex Refinación,Hidalgo,San Agustín Tlaxiaca,"Km 046+56 poliducto de 8 Ø Tula-Pachuca, en el poblado de Ixcuinquitlapilco",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,1093.34,1364.83,Si,-98.914,20.13,,,,,,2013,
1456,Emergencia ambiental,"Flensa, S.A. de C.V.",Nuevo_León,Apodaca,"Km 51 del periférico Apodaca, con cruce Miguel Alemán autopista periférico Monterrey",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,120,145,Si,-100.153,25.767,,,,,,2013,
1457,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Tihuatlán,Línea de descarga del Pozo Jiliapa No. 49 km 250,Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,1525.14,741,Si,-97.59,20.694,,,,,,2013,
1458,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,Oleoducto de 12 Ø Punta de Piedra-Centro de Almacenamiento y Bombeo-PR km 29+700,Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,8459.9,2158.33,Si,-97.378,20.632,,,,,,2013,
1459,,,,,"Tanque de 210 barriles Furbero 1617, localizado en la comunidad El Zapotal",,,,,,,,,,,Químicos,"Compañía Cars de México, S.A. de C.V.",Oxidación química a un lado del sitio contaminado,2019,2524.01,,1647.29
1460,,,,,Km 005+350 oleoducto de 8 Ø Soledad-Miquetla,,,,,,,,,,,Químicos,"Compañía Cars de México, S.A. de C.V.",Oxidación química a un lado del sitio contaminado,2019,2997.88,,1571.36
1461,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Álamo Temapache,Km 005+150 oleogasoducto de 8 Ø de la Plataforma Coyotes 316-BS Coyotes II,Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,151.56,174.29,Si,-97.866,21.05,,,,,,2013,
1462,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Coatzintla,Km 001+500 oleoducto de 8 Ø Coapechaca I-Central de Almacenamiento y Bombeo-Tajín,Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,145.11,45.35,Si,-97.561,20.473,,,,,,2013,
1463,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Coatzintla,Km 0+060 oleogasoducto de 8 Ø de la Macropera Tajín 411 a Batería de Separación Tajín I,Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,997.26,451.3,Si,-97.498,20.443,,,,,,2013,
1464,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Coatzintla,Oleogasoducto de 8 Ø Macropera Furbero 1049-entronque Furbero 1174 hacia la Batería de Separación Tajín V,Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,1120.6,1471.7,Si,-97.499,20.402,,,,,,2013,
1465,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,Línea de 8 Ø oleogasoducto de llegada de la Macropera Presidente Alemán 2094 y Presidente Alemán 1646,Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,6959.16,4885.63,Si,-97.352,20.343,,,,,,2013,
1466,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Coatzintla,Tanque de almacenamiento de 560 barriles de la Macropera Furbero 176,Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,3559.97,3449.73,Si,-97.598,20.39,,,,,,2013,
1467,Emergencia ambiental,Pemex Exploración y Producción,Puebla,Francisco Z. Mena,Km 1+492 oleogasoducto de 8 Ø de la Macropera Coyula 1019-BS Agua fría III,Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,9964.25,5724.49,Si,-97.724,20.567,,,,,,2013,
1468,,,,,Oleogasoducto de 8 Ø entronque al oleogasoducto de 10 Ø de la Macropera Furbero 1165,,,,,,,,,,,Químicos,"Compañía Cars de México, S.A. de C.V.",Oxidación química a un lado del sitio contaminado,2019,606.34,,470.93
